district,media_abductions,media_events
Achham,5106,23
Baglung,1017,11
Baitadi,1544,7
Bajhang,94,3
Bajura,3651,9
Bajura,75,1
Bajura,200,2
Banke,512,2
Bara,7,1
Achham,100,1
Bhojpur,200,9
Rupandehi,11,1
Chitawan,11,1
Dadeldhura,9,1
Dailekh,182,7
Dadeldhura,3797,10
Dadeldhura,400,1
Dang,558,7
Darchula,675,6
Dhading,1235,12
Dhankuta,98,4
Dhanusha,40,3
Dolakha,41,3
Dolpa,60,1
Doti,3500,15
Doti,62,1
Doti,60,1
Gorkha,190,2
Gulmi,640,4
Ilam,108,8
Jajarkot,2800,4
Jhapa,1049,5
Jumla,554,3
Kailali,2802,16
Kalikot,582,6
Kanchanpur,15406,4
Kaski,165,5
Kathmandu,76,4
Kabhrepalanchok,17,1
Kabhrepalanchok,6,1
Khotang,32,3
Lamjung,1177,7
Mahottari,6,1
Makawanpur,118,2
Makawanpur,207,1
Morang,196,3
Mugu,39,3
Myagdi,383,9
Nawalparasi East,131,4
Nuwakot,30,2
Okhaldhunga,300,1
Okhaldhunga,109,1
Palpa,116,4
Makawanpur,24,1
Panchthar,2054,15
Parbat,40,1
Pyuthan,38,3
Ramechhap,284,6
Ramechhap,854,7
Ramechhap,300,1
Rautahat,436,3
Rolpa,618,5
Rukum East,4541,8
Rupandehi,22,1
Salyan,814,6
Sankhuwasabha,7,1
Sankhuwasabha,1595,8
Saptari,5,1
Sarlahi,20,1
Sindhuli,410,4
Sindhupalchok,38,2
Solukhumbu,4,1
Solukhumbu,11,1
Sunsari,13,2
Surkhet,84,4
Syangja,1465,3
Tanahu,35,1
Tanahu,450,1
Taplejung,1569,11
Terhathum,300,1
Udayapur,25,2
Udayapur,179,4
Udayapur,397,3
Tanahu,36,1
Rolpa,8,1
