,district,ngo_abductions,ngo_events
0,Achham,494,7
1,Arghakhanchi,57,1
2,Baglung,219,7
3,Baitadi,627,8
4,Bajhang,938,7
5,Bajura,1783,55
6,Bhojpur,360,11
7,Dadeldhura,1415,14
8,Dailekh,518,3
9,Dang,29,2
10,Darchula,1333,9
11,Dhading,3582,23
12,Dhankuta,2531,30
13,Dhanusha,25,1
14,Dolakha,415,3
15,Dolpa,60,1
16,Doti,1684,7
17,Gorakha,763,5
18,Gulmi,1011,8
19,Humla,1288,6
20,Ilam,10048,5
21,Jajarkot,999,5
22,Jhapa,749,11
23,Jumla,1277,11
24,Kailali,2148,15
25,Kalikot,1057,3
26,Kapilvastu,15,1
27,Kaski,73,3
28,Kathmandu,47,1
29,Kavre,114,2
30,Khotang,11,1
31,Lalitpur,62,4
32,Lamjung,1273,11
33,Mahottari,32,2
34,Makawanpur,153,3
35,Mugu,50,1
36,Myagdi,2671,8
37,Nawalparasi,127,2
38,Nuwakot,350,1
39,Okhaldhunga,471,21
40,Palpa,744,5
41,Panchathar,3803,19
42,Parsa,800,2
43,Pyuthan,700,1
44,Ramechhap,1970,24
45,Rautahat,450,2
46,Rukum,2138,12
47,Salyan,36,4
48,Sankhuwasabha,139,3
49,Saptari,9,1
50,Sarlahi,80,4
51,Sindhuli,3238,38
52,Sindhupalchowk,200,7
53,Solukhumbu,92,5
54,Sunsari,37,1
55,Surkhet,547,19
56,Syangja,660,1
57,Tanahu,840,5
58,Taplejung,15401,24
59,Terhathum,168,11
60,Udaypur,1012,5
